,1001,1001,1001,1002,1002,1002,1003,1003,1003,1004,1004,1004,1005,1005,1005,1006,1006,1006,1007,1007,1007
,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction,Temperature,Wind speed,Wind direction
time0000,17.9,0,2.9,17.4,0,29.9,20.3,0,2.9,18.7,0.8,3.8,19.2,0.3,35.8,16,0.4,6,15.3,0.6,30.8
time0100,16.9,0,2.9,17.5,0,12.8,19.2,0,6,18.9,0.8,6,19.1,0.8,35.8,14.9,0,2.6,14.6,0,25.1
time0200,16.2,0,28.8,17.8,0,5.4,19.5,0,8,18.1,0.3,1.2,19,0.8,3.2,15,0,26.5,13.7,0,24
time0300,15.6,0,31.9,17.5,0,27.7,19.1,0,5.7,18.1,0,3.2,18.6,1.2,3.8,14.5,0,27.7,13.2,0.3,22.9
time0400,16.4,0,26,17.3,0,35.3,18.8,0,6,17.5,0,6,18.4,0.4,32.4,14,0,27.9,12.1,1.1,29.6
time0500,16.2,0,30.2,17.5,0,22.9,18.7,0.3,2.3,17.5,0.8,0.1,18.3,0.3,3.2,14.3,0,29.9,12.3,0,22.6
time0600,16.6,0,28.8,19.7,0,35.3,20.8,0,3.5,17.1,0,25.4,18.1,1.3,35.5,14.5,0,29.3,13.1,2,32.7
time0700,18.3,0,34.7,22.3,0,25.4,21.1,0,2.9,19.1,0.3,31.9,19.2,3,2.9,16.9,0.9,34.4,13.4,0,30.5
time0800,20.1,0,0.1,23.7,0,27.7,22.6,0,35.3,21.2,0,10.2,20.8,1.9,4,19.1,0.8,3.8,14.7,2.9,34.7
time0900,21,1.5,35,24.9,0,25.4,23.5,4.6,34.1,22.9,2.7,6,21.9,2.1,1.8,21.8,0.9,9.1,16.3,0,19.2
time1000,21.8,0,6.8,26.5,0,29.6,24.9,2.8,5.2,23.7,4.8,4.9,23.3,2.3,3.2,22.5,3.1,10.2,16.9,2.5,0.7
time1100,25.2,0,15,27.5,0,27.7,25.5,2.7,2.6,24.6,4.5,4.6,23.2,5.3,2.6,23.4,1.3,4,18.3,3.4,33.3
time1200,25.4,0,6,27.4,0,1.5,26.5,7.4,7.4,25.8,4.5,2.9,23.3,5.5,1.2,23.8,3.9,3.8,20.1,2.8,33
time1300,25.4,0,10.5,28,0,2.9,26,0.4,30.2,26.3,2.4,5.2,24.2,1.3,0.7,24.9,1.7,5.7,20.5,2.8,31.3
time1400,25.6,0,2.3,27.2,0,35.8,25.5,1.5,5.4,26.5,2.2,2.9,25.1,0.7,0.4,25.4,2.1,15,21.1,2.7,35.8
time1500,24.7,0,11.9,26.7,0,28.5,25.7,3.9,2.3,26,3.3,5.2,24.3,3.5,4.6,23.6,0.6,9.7,20.8,1,18.4
time1600,23.1,0,8.8,25.8,0,30.8,24.5,2.9,6.3,25,4.3,35.8,23.5,1.9,2.3,23.7,2.3,14.2,20.9,3.4,33.6
time1700,21.5,0,13,25.2,0,31,23,3.3,6.8,23.9,2.2,6,22.1,2.5,2.9,21.3,4.7,9.7,20.5,2,3.2
time1800,21,0,9.7,24,0,2.9,21.7,2.8,7.4,22.8,1.5,35.3,20.7,4.7,5.2,19.9,1.9,12.2,19.4,1.2,0.7
time1900,19.6,0,14.2,23.7,2.4,8,20.9,2.9,4.6,22.2,3.4,2.9,20.1,4.8,4.9,18.9,0.9,9.4,18.4,1.9,3.8
time2000,20.4,0,9.7,22.9,0,13.3,20.4,1.7,4,21.2,0,5.7,19.2,1.1,7.7,16.4,0,7.4,17.6,1.7,5.2
time2100,19.3,0,12.8,21.2,0,8.3,20.1,2.7,2.9,20.4,0.9,2.3,18.8,1.7,2.9,16.4,0.8,5.2,16.8,1.2,1.8
time2200,18.1,0,34.1,20.8,0,4.6,19.7,1.6,35.5,20,1.6,3.8,18.7,1.9,3.2,16.5,1.1,10.2,14.4,0,3.8
time2300,17.5,0,24.6,20.4,0,6.6,19.6,1,6,20.2,3,4.3,16.3,0,2.9,15.5,0.4,9.7,11.9,0,28.8
